annotation_id,image_id,label,original_label,xmin,ymin,xmax,ymax
-5805312977254070876_121-14_5_39_1,-5805312977254070876_121-14_5_39,healthy,healthy-cocoa-leaf,288,559,796,1280
-5805312977254070877_121-14_5_45_2,-5805312977254070877_121-14_5_45,healthy,healthy-cocoa-leaf,164,483,821,1228
-5805312977254070878_121-14_5_50_3,-5805312977254070878_121-14_5_50,healthy,healthy-cocoa-leaf,237,395,793,1280
-5805312977254070878_121-14_5_50_4,-5805312977254070878_121-14_5_50,healthy,healthy-cocoa-leaf,0,0,188,310
-5805312977254070879_121-14_5_59_5,-5805312977254070879_121-14_5_59,healthy,healthy-cocoa-leaf,675,0,936,483
-5805312977254070879_121-14_5_59_6,-5805312977254070879_121-14_5_59,healthy,healthy-cocoa-leaf,188,283,589,930
-5805312977254070880_121-14_8_34_7,-5805312977254070880_121-14_8_34,healthy,healthy-cocoa-leaf,321,109,1121,543
-5805312977254070888_121-14_11_58_8,-5805312977254070888_121-14_11_58,healthy,healthy-cocoa-leaf,0,40,474,1247
-5805312977254070888_121-14_11_58_9,-5805312977254070888_121-14_11_58,healthy,healthy-cocoa-leaf,267,471,577,1171
-5805312977254070888_121-14_11_58_10,-5805312977254070888_121-14_11_58,healthy,healthy-cocoa-leaf,428,12,672,228
-5805312977254070888_121-14_11_58_11,-5805312977254070888_121-14_11_58,healthy,healthy-cocoa-leaf,456,812,726,1280
-5805312977254070889_121-14_12_3_12,-5805312977254070889_121-14_12_3,healthy,healthy-cocoa-leaf,535,675,848,1146
-5805312977254070889_121-14_12_3_13,-5805312977254070889_121-14_12_3,healthy,healthy-cocoa-leaf,696,821,960,1280
-5805312977254070890_121-14_12_8_14,-5805312977254070890_121-14_12_8,healthy,healthy-cocoa-leaf,0,0,261,152
-5805312977254070893_121-14_13_11_15,-5805312977254070893_121-14_13_11,healthy,healthy-cocoa-leaf,626,807,1098,960
-5805312977254070893_121-14_13_11_16,-5805312977254070893_121-14_13_11,healthy,healthy-cocoa-leaf,968,221,1190,404
-5805312977254070894_121-14_13_16_17,-5805312977254070894_121-14_13_16,healthy,healthy-cocoa-leaf,529,12,748,201
-5805312977254070894_121-14_13_16_18,-5805312977254070894_121-14_13_16,healthy,healthy-cocoa-leaf,817,401,960,596
-5805312977254070894_121-14_13_16_19,-5805312977254070894_121-14_13_16,healthy,healthy-cocoa-leaf,775,891,960,1280
-5805312977254070895_121-14_13_24_20,-5805312977254070895_121-14_13_24,healthy,healthy-cocoa-leaf,85,642,319,1247
-5805312977254070895_121-14_13_24_21,-5805312977254070895_121-14_13_24,healthy,healthy-cocoa-leaf,738,529,960,1031
-5805312977254070897_121-14_13_34_22,-5805312977254070897_121-14_13_34,healthy,healthy-cocoa-leaf,702,36,960,602
-5805312977254070897_121-14_13_34_23,-5805312977254070897_121-14_13_34,healthy,healthy-cocoa-leaf,285,0,586,304
-5805312977254070897_121-14_13_34_24,-5805312977254070897_121-14_13_34,healthy,healthy-cocoa-leaf,0,714,109,1280
-5805312977254070898_121-14_13_39_25,-5805312977254070898_121-14_13_39,healthy,healthy-cocoa-leaf,139,1073,410,1280
-5805312977254070898_121-14_13_39_26,-5805312977254070898_121-14_13_39,healthy,healthy-cocoa-leaf,434,261,620,559
-5805312977254070898_121-14_13_39_27,-5805312977254070898_121-14_13_39,healthy,healthy-cocoa-leaf,492,672,824,1088
-5805312977254070899_121-14_13_44_28,-5805312977254070899_121-14_13_44,healthy,healthy-cocoa-leaf,0,55,380,800
-5805312977254070899_121-14_13_44_29,-5805312977254070899_121-14_13_44,healthy,healthy-cocoa-leaf,735,24,942,204
-5805312977254070900_121-14_13_49_30,-5805312977254070900_121-14_13_49,healthy,healthy-cocoa-leaf,0,410,85,1015
-5805312977254070903_121-14_16_31_31,-5805312977254070903_121-14_16_31,healthy,healthy-cocoa-leaf,720,304,912,663
-5805312977254070903_121-14_16_31_32,-5805312977254070903_121-14_16_31,healthy,healthy-cocoa-leaf,395,508,672,1091
-5805312977254070904_121-14_16_36_33,-5805312977254070904_121-14_16_36,healthy,healthy-cocoa-leaf,185,192,766,718
-5805312977254070910_121-14_17_10_34,-5805312977254070910_121-14_17_10,healthy,healthy-cocoa-leaf,307,401,547,915
-5805312977254070911_121-14_17_49_35,-5805312977254070911_121-14_17_49,healthy,healthy-cocoa-leaf,0,0,337,158
-5805312977254070911_121-14_17_49_36,-5805312977254070911_121-14_17_49,healthy,healthy-cocoa-leaf,571,897,842,1122
-5805312977254070911_121-14_17_49_37,-5805312977254070911_121-14_17_49,healthy,healthy-cocoa-leaf,863,1161,960,1280
-5805312977254070917_121-14_18_22_38,-5805312977254070917_121-14_18_22,healthy,healthy-cocoa-leaf,751,368,960,727
-5805312977254070917_121-14_18_22_39,-5805312977254070917_121-14_18_22,healthy,healthy-cocoa-leaf,480,502,875,885
-5805312977254070917_121-14_18_22_40,-5805312977254070917_121-14_18_22,healthy,healthy-cocoa-leaf,419,289,726,638
-5805312977254070918_121-14_18_28_41,-5805312977254070918_121-14_18_28,healthy,healthy-cocoa-leaf,0,1019,358,1280
-5805312977254070918_121-14_18_28_42,-5805312977254070918_121-14_18_28,healthy,healthy-cocoa-leaf,659,660,960,1280
-5805312977254070919_121-14_18_33_43,-5805312977254070919_121-14_18_33,healthy,healthy-cocoa-leaf,0,812,285,1101
-5805312977254070919_121-14_18_33_44,-5805312977254070919_121-14_18_33,healthy,healthy-cocoa-leaf,97,1034,486,1280
-5805312977254070920_121-14_18_39_45,-5805312977254070920_121-14_18_39,healthy,healthy-cocoa-leaf,0,863,228,1152
-5805312977254070920_121-14_18_39_46,-5805312977254070920_121-14_18_39,healthy,healthy-cocoa-leaf,143,1019,398,1280
-5805312977254070920_121-14_18_39_47,-5805312977254070920_121-14_18_39,healthy,healthy-cocoa-leaf,596,398,769,638
-5805312977254070920_121-14_18_39_48,-5805312977254070920_121-14_18_39,healthy,healthy-cocoa-leaf,0,307,155,517
-5805312977254070921_121-14_19_14_49,-5805312977254070921_121-14_19_14,healthy,healthy-cocoa-leaf,70,337,706,616
-5805312977254070921_121-14_19_14_50,-5805312977254070921_121-14_19_14,healthy,healthy-cocoa-leaf,40,0,184,262
-5805312977254070922_121-14_19_18_51,-5805312977254070922_121-14_19_18,healthy,healthy-cocoa-leaf,364,164,760,1280
-5805312977254070922_121-14_19_18_52,-5805312977254070922_121-14_19_18,healthy,healthy-cocoa-leaf,0,12,206,593
-5805312977254070923_121-14_19_23_53,-5805312977254070923_121-14_19_23,healthy,healthy-cocoa-leaf,0,426,1139,773
-5805312977254070924_121-14_19_28_54,-5805312977254070924_121-14_19_28,healthy,healthy-cocoa-leaf,79,93,1133,522
-5805312977254070925_121-14_19_33_55,-5805312977254070925_121-14_19_33,healthy,healthy-cocoa-leaf,127,94,772,1280
-5805312977254070925_121-14_19_33_56,-5805312977254070925_121-14_19_33,healthy,healthy-cocoa-leaf,532,185,872,1025
-5805312977254070926_121-14_19_38_57,-5805312977254070926_121-14_19_38,healthy,healthy-cocoa-leaf,732,15,960,377
-5805312977254070927_121-14_19_44_58,-5805312977254070927_121-14_19_44,healthy,healthy-cocoa-leaf,0,0,870,260
-5805312977254070928_121-14_19_50_59,-5805312977254070928_121-14_19_50,healthy,healthy-cocoa-leaf,726,228,924,602
-5805312977254070928_121-14_19_50_60,-5805312977254070928_121-14_19_50,healthy,healthy-cocoa-leaf,383,684,836,1155
-5805312977254070938_121-14_22_39_61,-5805312977254070938_121-14_22_39,healthy,healthy-cocoa-leaf,179,383,483,842
-5805312977254070939_121-14_22_54_62,-5805312977254070939_121-14_22_54,healthy,healthy-cocoa-leaf,0,572,264,784
-5805312977254070939_121-14_22_54_63,-5805312977254070939_121-14_22_54,healthy,healthy-cocoa-leaf,550,654,839,1225
-5805312977254070939_121-14_22_54_64,-5805312977254070939_121-14_22_54,healthy,healthy-cocoa-leaf,781,766,960,1280
-5805312977254070940_121-14_22_59_65,-5805312977254070940_121-14_22_59,healthy,healthy-cocoa-leaf,243,368,781,1213
-5805312977254070940_121-14_22_59_66,-5805312977254070940_121-14_22_59,healthy,healthy-cocoa-leaf,589,21,930,331
-5805312977254070941_121-14_24_24_67,-5805312977254070941_121-14_24_24,healthy,healthy-cocoa-leaf,529,523,845,939
-5805312977254070941_121-14_24_24_68,-5805312977254070941_121-14_24_24,healthy,healthy-cocoa-leaf,264,435,538,754
-5805312977254070942_121-14_37_39_69,-5805312977254070942_121-14_37_39,healthy,healthy-cocoa-leaf,310,392,571,1101
-5805312977254070942_121-14_37_39_70,-5805312977254070942_121-14_37_39,healthy,healthy-cocoa-leaf,629,413,960,666
-5805312977254070943_121-14_37_46_71,-5805312977254070943_121-14_37_46,healthy,healthy-cocoa-leaf,623,486,960,1064
-5805312977254070943_121-14_37_46_72,-5805312977254070943_121-14_37_46,healthy,healthy-cocoa-leaf,395,85,869,505
-5805312977254070944_121-14_37_52_73,-5805312977254070944_121-14_37_52,healthy,healthy-cocoa-leaf,425,626,772,1280
-5805312977254070945_121-14_37_57_74,-5805312977254070945_121-14_37_57,healthy,healthy-cocoa-leaf,374,465,821,1031
-5805312977254070945_121-14_37_57_75,-5805312977254070945_121-14_37_57,healthy,healthy-cocoa-leaf,0,0,711,401
-5805312977254070947_121-14_38_13_76,-5805312977254070947_121-14_38_13,healthy,healthy-cocoa-leaf,118,103,802,1146
-5805312977254070955_121-14_40_10_77,-5805312977254070955_121-14_40_10,healthy,healthy-cocoa-leaf,0,319,136,714
-5805312977254070955_121-14_40_10_78,-5805312977254070955_121-14_40_10,healthy,healthy-cocoa-leaf,486,310,653,815
