image_id,image_path,plant,disease,label,source_dataset,source_archive,image_hash,split,object_count
kara_healthy_02_healthy_02_0157044B-91D0-43F3-90AD-414541562681-1_35_13,data/processed/final/train/images/kara_healthy_02_healthy_02_0157044B-91D0-43F3-90AD-414541562681-1_35_13.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,8a740abe67c5f23e002b0212d5968e1808d5ea8eb03af9e320f3adc45521b7e3,train,1
kara_healthy_02_healthy_02_01686F78-244E-400F-B1DE-EF76A83811B4-1_12_33,data/processed/final/train/images/kara_healthy_02_healthy_02_01686F78-244E-400F-B1DE-EF76A83811B4-1_12_33.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,9ca071b66f8fab1b386b46027b0da3676da8f211be1a69bd27db504df7c17001,train,1
kara_healthy_02_healthy_02_02334273-8909-43B9-8EE0-DEFEC5CCCE74-23_27_7,data/processed/final/train/images/kara_healthy_02_healthy_02_02334273-8909-43B9-8EE0-DEFEC5CCCE74-23_27_7.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,f93708eddb506779d26f75ca8200c624be6b1b51f917095ab904737e62be6cc6,train,1
kara_healthy_02_healthy_02_02672A0E-5144-4502-BD3E-C5B853E4E884-8_30_32,data/processed/final/train/images/kara_healthy_02_healthy_02_02672A0E-5144-4502-BD3E-C5B853E4E884-8_30_32.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,13e5cd06b10bc1c0a934aee5de8a0013ea394d8835cbba0e71b3357398378539,train,4
kara_healthy_02_healthy_02_033641F8-DB93-46DB-9FAD-F107C33F0C55-0_16_20,data/processed/final/train/images/kara_healthy_02_healthy_02_033641F8-DB93-46DB-9FAD-F107C33F0C55-0_16_20.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,cc1af58b2cfe395f1b80208cf7111e9b140028bba67c91b3a20443d6bbd73fe2,train,3
kara_healthy_02_healthy_02_050509EC-F96D-4885-B1AB-E57E5657448C-13_32_50,data/processed/final/train/images/kara_healthy_02_healthy_02_050509EC-F96D-4885-B1AB-E57E5657448C-13_32_50.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,0aaae947fbdd523f2c63ad96e0dcaa02942fdd2a91c2bf081e5824d849c73998,train,1
kara_healthy_02_healthy_02_05164168-C40B-4B17-AA32-C6B18CD060E8-0_17_30,data/processed/final/train/images/kara_healthy_02_healthy_02_05164168-C40B-4B17-AA32-C6B18CD060E8-0_17_30.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,dedee721e2182b55599a1c91884346f9a990d37486ae048e7e28a0db37c2ddc8,train,1
kara_healthy_02_healthy_02_05469824-269E-4868-ADE2-EB28FBDDB7CA-15_15_5,data/processed/final/train/images/kara_healthy_02_healthy_02_05469824-269E-4868-ADE2-EB28FBDDB7CA-15_15_5.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,d5a6ba6242c7241410c0c2457d4bf27f0021d3672afff11579f2b61bf1451922,train,4
kara_healthy_02_healthy_02_08110D2F-0B30-4010-B880-8FF8DB262085-12_28_15,data/processed/final/train/images/kara_healthy_02_healthy_02_08110D2F-0B30-4010-B880-8FF8DB262085-12_28_15.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,fa488ed09c9a2457d4039de88c5fef5eb51fcdc357b00249a35432a8d0449b46,train,2
kara_healthy_02_healthy_02_0853A0E7-879B-471A-ADFE-1C9674C54522-12_30_19,data/processed/final/train/images/kara_healthy_02_healthy_02_0853A0E7-879B-471A-ADFE-1C9674C54522-12_30_19.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,1a91ea84ea3422cc9a1eb5ca4ecea7b8fd6cb468e4d218a6a3164e570c1f88e9,train,1
kara_healthy_02_healthy_02_0867C9B7-F709-4275-BCA9-D6C80513B6F8-12_50_15,data/processed/final/train/images/kara_healthy_02_healthy_02_0867C9B7-F709-4275-BCA9-D6C80513B6F8-12_50_15.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,8d4921c4c7a7b9bd6f9848834254ab2946aa7d91a2ce76d1bd095038307c882c,train,1
kara_healthy_02_healthy_02_0945298D-08A3-4DA2-9850-A5B3A018329D-10_1_51,data/processed/final/train/images/kara_healthy_02_healthy_02_0945298D-08A3-4DA2-9850-A5B3A018329D-10_1_51.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,67d184953388aa93346314d7c2d62d36e2067b8781c1f8621d739abbc7abdcc6,train,1
kara_healthy_02_healthy_02_0977445D-F297-4105-98E5-7B5423AC7C1B-15_21_5,data/processed/final/train/images/kara_healthy_02_healthy_02_0977445D-F297-4105-98E5-7B5423AC7C1B-15_21_5.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,cc8b4d5e40ba1486d26c4e9e6f1fec25a7ecc6467ebd0fb974574e5ed2b8c9a1,train,2
kara_healthy_02_healthy_02_12243B8B-D0EF-4173-A590-FCD0435C8221-18_30_19,data/processed/final/train/images/kara_healthy_02_healthy_02_12243B8B-D0EF-4173-A590-FCD0435C8221-18_30_19.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,7ac062639e1220a5b0d54458ffd96da8a9986586dac0dd0b0aa83f4768e1e076,train,1
kara_healthy_02_healthy_02_12763606-FC2E-4CE5-BEC0-BB878161A284-20_59_12,data/processed/final/train/images/kara_healthy_02_healthy_02_12763606-FC2E-4CE5-BEC0-BB878161A284-20_59_12.jpeg,cocoa,healthy,healthy,KaraAgroAI Cocoa Dataset,healthy_02/03/04/05,5227045399947b32925b53f62fd4c7595c8f47f1e69b0f5ef09b75fb69a4f2b0,train,2
