image_id,image_path,plant,image_label,source_dataset,source_archive,image_hash,split
-5805312977254070876_121-14_5_39,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070876_121-14_5_39.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,f0c88ba59a70789e29e0918888560d9744ebeb55c9227c89dbcc8a4f8d4d5801,unassigned
-5805312977254070877_121-14_5_45,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070877_121-14_5_45.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,58c0a378b08be15b5bf4013f2fa05b68252ec11f6644a16df35806f06d228fe9,unassigned
-5805312977254070878_121-14_5_50,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070878_121-14_5_50.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,ad45b74443ff3a14eb266e255d65b00810a147950d2593daf1891dd04d1c860e,unassigned
-5805312977254070879_121-14_5_59,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070879_121-14_5_59.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,5a2a2f5010c3b28bf874c94c16ae580ae27a0112dfd8ea6310c4664e068ce07c,unassigned
-5805312977254070880_121-14_8_34,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070880_121-14_8_34.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,cbc691c9127003a32618de9eb26c42aee5b48bd9d8226201af1c5ee440e66e96,unassigned
-5805312977254070888_121-14_11_58,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070888_121-14_11_58.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,92c340f6dcb26420de11a6c49be3ef393fb348a91f9bc141ac714d439320bc47,unassigned
-5805312977254070889_121-14_12_3,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070889_121-14_12_3.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,780d202e905193e0b5c3e9e6b78247b77bdcc49f02e03d2a494747c6b0be4f34,unassigned
-5805312977254070890_121-14_12_8,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070890_121-14_12_8.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,446b019e96091fd1aaee18031ac53546065c5caa633cbab1a784b9374e8a560f,unassigned
-5805312977254070893_121-14_13_11,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070893_121-14_13_11.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,628a488d78f63c32440c9e1c6eeeac36daad7d84fb02fddf1ca32ec19ca459e2,unassigned
-5805312977254070894_121-14_13_16,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070894_121-14_13_16.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,9d23262d663283d5f49c498862de00113ca2fbdb96090eef40c1927c47692baf,unassigned
-5805312977254070895_121-14_13_24,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070895_121-14_13_24.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,dbb1e1b1ccca59bd1708c09b2e99821a722eb4129ae7940175bfabb03a8b120b,unassigned
-5805312977254070897_121-14_13_34,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070897_121-14_13_34.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,1655bbb1f64bfb261a4a89e821941a855c751c202170e642258415654d8f7724,unassigned
-5805312977254070898_121-14_13_39,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070898_121-14_13_39.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,d71052841104ada38efc55948a41e0c404f62a15bb26c3a7e7ddc8584702087f,unassigned
-5805312977254070899_121-14_13_44,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070899_121-14_13_44.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,784ca955cb4110db6d2b4fbb7cd91b1811929a4914d766e4d8c5474579334cb5,unassigned
-5805312977254070900_121-14_13_49,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070900_121-14_13_49.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,5a28dea70926f4907a0bb2178e3c52c928725ed34406be8b2e204c4d3a72d2fc,unassigned
-5805312977254070903_121-14_16_31,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070903_121-14_16_31.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,6b6f8fc6c3e716437b882eb539a4551ab2ea6363082b37184f032386f31d802a,unassigned
-5805312977254070904_121-14_16_36,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070904_121-14_16_36.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,a7ce6a272fbc753943c925fe6a1b2695090e74d57c11dbed71eb476c92505dca,unassigned
-5805312977254070910_121-14_17_10,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070910_121-14_17_10.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,4b5c8d02256759ae5e63d6b950846d93ca67bd545be81f9fd030a83ebd588cce,unassigned
-5805312977254070911_121-14_17_49,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070911_121-14_17_49.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,ce30dc9b425bfcad802002b22d9ad6d724072fb8fad67737e9f5c3492d9c9ccc,unassigned
-5805312977254070917_121-14_18_22,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070917_121-14_18_22.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,2cf032f084858a11632eaf32f4caacbdc2d098155cd841123b830af2c105c775,unassigned
-5805312977254070918_121-14_18_28,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070918_121-14_18_28.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,e20772911d064c71b1b8c48951f8f3fbc80de79173d1bfb7113a9c0fc8ff6f9d,unassigned
-5805312977254070919_121-14_18_33,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070919_121-14_18_33.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,6c85384576a711cb62ed1b7165129a8ffa4c53e9d94fcf90ab2120f8595fbf15,unassigned
-5805312977254070920_121-14_18_39,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070920_121-14_18_39.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,0773d98658ef216d25be99cdc242fdb6058bca7b821ee2a33b572cdcda55ecf2,unassigned
-5805312977254070921_121-14_19_14,data/raw/karaagroai/healthy_05/healthy_01/-5805312977254070921_121-14_19_14.jpg,cocoa,healthy,KaraAgroAI Cocoa Dataset,healthy_05.rar,4a4f13aec8f337e3465cf443eb6ce19a5ec39876bf9a774940044a0f6e72201d,unassigned
